Soil_Rocky,None,Soil_Rocky,/NVIDIA/Materials/Base/Natural,
Sand,None,Sand,/NVIDIA/Materials/Base/Natural,
Mulch_Brown,None,Mulch_Brown,/NVIDIA/Materials/Base/Natural,
Leaves,None,Leaves,/NVIDIA/Materials/Base/Natural,
Grass_Winter,None,Grass_Winter,/NVIDIA/Materials/Base/Natural,
Grass_Cut,None,Grass_Cut,/NVIDIA/Materials/Base/Natural,
Grass_Countryside,None,Grass_Countryside,/NVIDIA/Materials/Base/Natural,
Dirt,None,Dirt,/NVIDIA/Materials/Base/Natural,
Asphalt,None,Asphalt,/NVIDIA/Materials/Base/Natural,
Paint_Satin_Finish,None,Paint_Satin_Finish,/NVIDIA/Materials/Base/Miscellaneous,
Paint_Satin,None,Paint_Satin,/NVIDIA/Materials/Base/Miscellaneous,
Paint_Matte_Finish,None,Paint_Matte_Finish,/NVIDIA/Materials/Base/Miscellaneous,
Paint_Matte,None,Paint_Matte,/NVIDIA/Materials/Base/Miscellaneous,
Paint_Gloss_Finish,None,Paint_Gloss_Finish,/NVIDIA/Materials/Base/Miscellaneous,
Paint_Gloss,None,Paint_Gloss,/NVIDIA/Materials/Base/Miscellaneous,
Chain_Link_Fence,None,Chain_Link_Fence,/NVIDIA/Materials/Base/Miscellaneous,
Steel_Stainless,None,Steel_Stainless,/NVIDIA/Materials/Base/Metals,
Steel_Cast,None,Steel_Cast,/NVIDIA/Materials/Base/Metals,
Steel_Carbon,None,Steel_Carbon,/NVIDIA/Materials/Base/Metals,
Steel_Blued,None,Steel_Blued,/NVIDIA/Materials/Base/Metals,
Silver,None,Silver,/NVIDIA/Materials/Base/Metals,
RustedMetal,None,RustedMetal,/NVIDIA/Materials/Base/Metals,
Metal_Seamed_Roof,None,Metal_Seamed_Roof,/NVIDIA/Materials/Base/Metals,
Metal_Door,None,Metal_Door,/NVIDIA/Materials/Base/Metals,
Iron,None,Iron,/NVIDIA/Materials/Base/Metals,
Gold,None,Gold,/NVIDIA/Materials/Base/Metals,
CorrugatedMetal,None,CorrugatedMetal,/NVIDIA/Materials/Base/Metals,
Copper,None,Copper,/NVIDIA/Materials/Base/Metals,
Chrome,None,Chrome,/NVIDIA/Materials/Base/Metals,
Cast_Metal_Silver_Vein,None,Cast_Metal_Silver_Vein,/NVIDIA/Materials/Base/Metals,
Brushed_Antique_Copper,None,Brushed_Antique_Copper,/NVIDIA/Materials/Base/Metals,
Bronze,None,Bronze,/NVIDIA/Materials/Base/Metals,
Brass,None,Brass,/NVIDIA/Materials/Base/Metals,
